STATE,YEAR,COAL_CONS,PET_LIQ_CONS,NG_CONS,EC_TOTAL,EEC_TOTAL,EG_TOTAL,EG_RE_TOTAL,EG_W_TOTAL,EG_S_TOTAL,EG_G_TOTAL,EG_BM_TOTAL,PR_TOTAL,PR_RES,PR_COM,PR_ID,PR_OTHER,EC_RES,EC_COM,EC_ID,EC_OTHER,INCOME,POP,GDP_IDX
PA,2001,50690.834,6807.325,37135.046,172406.979,135271.933,196576.591,1896.19571,11.175,0,0,1885.02071,80100,96800,86200,57600,114600,46029.98901,40552.67,47383.32,1305.95399,43499,12298970,100
PA,2002,51080.996,4949.316,65838.065,205657.935,139819.87,204322.878,2062.49393,57.768,0,0,2004.72593,80600,97400,85000,58300,115900,48729.95599,42631.879,47089.55101,1368.484,42498,12331031,103
PA,2003,52092.362,7744.414,55446.742,195815.87,140369.128,206349.513,2097.61781,111.521,0,0,1986.09681,80200,95900,86200,58000,77800,49651.001,43217.826,46773.43898,726.862,42933,12374658,108
PA,2004,52784.24196,6887.2382,90724.0499,234225.5429,143501.493,214658.5008,2275.6531,306.31185,0,0,1969.34125,80000,95800,85100,58700,73200,50663.389,44355.43401,47659.216,823.45399,44106,12410722,114
PA,2005,55631.04365,9414.9565,94680.34915,242953.2892,148272.94,218091.1251,2329.3081,284.241,0,0,2045.0671,82700,98600,85000,62900,72200,53661.476,45781.81699,47950.07001,879.57702,46300,12449990,120
PA,2006,57187.27312,2079.10815,114639.4922,260789.8502,146150.358,218811.5947,2472.94615,361.108,0,0,2111.83815,86800,103500,89400,66300,74500,51790.11699,45623.57001,47920.39001,816.28099,48477,12510809,124
PA,2007,56788.81,2843.076,154840.446,306413.396,151572.95,226088.3403,2546.19553,470.01777,0,0,2076.17776,90800,109500,92000,68700,77200,54586.82,47531.366,48579.169,875.59502,48437,12563937,132
PA,2008,55150.628,1756.895,149203.356,299603.945,150400.589,222350.9247,2803.60141,729.425,0,0,2074.17641,93300,113500,93900,70300,75700,54059.76201,47346.95001,48130.82303,863.054,51402,12612285,138
PA,2009,49993.33,1473.192,220044.06,363791.498,143747.438,219496.1436,3348.36619,1074.78808,0,0,2273.57811,96000,116500,95500,72100,77700,52905.995,46411.16003,43551.74502,878.53801,48172,12666858,136
PA,2010,52136.939,1197.635,255093.203,404057.171,148963.968,229752.3062,4237.26576,1854.03172,0,0,2383.23404,103100,127000,101000,76600,79100,55252.83701,47366.36599,45457.62702,887.13801,48314,12711406,142
PA,2011,48508.887,956.01,318152.221,466909.459,148757.238,227314.7224,4075.846,1794.465,0,0,2281.381,104500,132600,100300,77300,89300,54795.63301,43535.83603,49585.444,840.32501,49910,12747052,146
PA,2012,42305.966,662.24064,406109.45,550819.177,144709.727,223419.7155,4426.97095,2128.658,0,0,2298.31295,99100,127500,94400,72300,80700,52876.05801,42919.768,48038.858,875.04302,51904,12769123,152
PA,2013,42659.341,720.6564,377812.89,524066.653,146253.763,226785.6305,5690.88081,3352.043,0,0,2338.83781,98100,127900,92500,69700,78100,54251.84703,43145.01101,48043.11699,813.78799,53952,12779538,157
PA,2014,39023.617,1309.20259,404225.296,550912.994,146687.698,221035.2345,6332.15694,3564.73,314.12603,0,2453.30091,102800,133200,97300,74100,76500,54195.33502,43347.91802,48317.69299,826.75201,55173,12792392,163
PA,2015,32024.575,1115.42561,454788.739,601132.767,146344.028,214545.2672,6081.87785,3352.672,325.24548,0,2403.96037,103100,136400,96000,72000,78200,54418.66301,43745.173,47404.27201,775.92002,60389,12789838,167
PA,2016,28060.998,638.78586,520094.981,665422.664,145327.683,215041.7304,6228.99807,3476.246,361.32001,0,2391.43206,101900,138600,92200,69200,76400,53877.13,43535.43203,47127.93202,787.18898,60979,12788468,170
